timestamp1,timestamp2,difference
1678995622163870000,1678995622165038000,1168000
1678995622163870000,1678995622165039000,1169000
1678995622163871000,1678995622165040000,1169000
1678995622163872000,1678995622165040000,1168000
1678995622163873000,1678995622165041000,1168000
1678995622163874000,1678995622165042000,1168000
1678995622163875000,1678995622165043000,1168000
1678995622163876000,1678995622165044000,1168000
1678995622163877000,1678995622165045000,1168000
1678995622163877000,1678995622165046000,1169000
1678995622163878000,1678995622165047000,1169000
1678995622163879000,1678995622165047000,1168000
1678995622163880000,1678995622165048000,1168000
1678995622163881000,1678995622165049000,1168000
1678995622163882000,1678995622165050000,1168000
1678995622163882000,1678995622165051000,1169000
1678995622163883000,1678995622165052000,1169000
1678995622163884000,1678995622165053000,1169000
1678995622163885000,1678995622165053000,1168000
1678995622163886000,1678995622165054000,1168000
1678995622163887000,1678995622165055000,1168000
1678995622163888000,1678995622165056000,1168000
1678995622163889000,1678995622165057000,1168000
1678995622163889000,1678995622165058000,1169000
1678995622163890000,1678995622165059000,1169000
1678995622163891000,1678995622165059000,1168000
1678995622163892000,1678995622165060000,1168000
1678995622163893000,1678995622165061000,1168000
1678995622163894000,1678995622165062000,1168000
1678995622163894000,1678995622165063000,1169000
1678995622163895000,1678995622165064000,1169000
1678995622163896000,1678995622165064000,1168000
1678995622163897000,1678995622165065000,1168000
1678995622163898000,1678995622165066000,1168000
1678995622163899000,1678995622165067000,1168000
1678995622163900000,1678995622165068000,1168000
1678995622163900000,1678995622165069000,1169000
1678995622163901000,1678995622165070000,1169000
1678995622163902000,1678995622165070000,1168000
1678995622163903000,1678995622165071000,1168000
1678995622163904000,1678995622165072000,1168000
1678995622163905000,1678995622165073000,1168000
1678995622163905000,1678995622165074000,1169000
1678995622163906000,1678995622165075000,1169000
1678995622163907000,1678995622165076000,1169000
1678995622163908000,1678995622165077000,1169000
1678995622163909000,1678995622165077000,1168000
1678995622163910000,1678995622165078000,1168000
1678995622163911000,1678995622165079000,1168000
1678995622163912000,1678995622165080000,1168000
1678995622163913000,1678995622165081000,1168000
1678995622163913000,1678995622165082000,1169000
1678995622163914000,1678995622165083000,1169000
1678995622163915000,1678995622165083000,1168000
1678995622163916000,1678995622165084000,1168000
1678995622163917000,1678995622165085000,1168000
1678995622163918000,1678995622165086000,1168000
1678995622163919000,1678995622165087000,1168000
1678995622163919000,1678995622165088000,1169000
1678995622163920000,1678995622165089000,1169000
1678995622163921000,1678995622165089000,1168000
